year,quarter,district,open_rate,close_rate
2019,2,1000503,94,43
2019,2,1000502,90,56
2019,2,1000501,94,48
2019,2,1000500,84,47
2019,2,1000499,95,48
2019,2,1000498,94,50
2019,2,1000497,68,41
2019,2,1000496,71,49
2019,2,1000495,59,41
2019,2,1000494,55,46
2019,2,1000493,81,44
2019,2,1000492,73,48
2019,2,1000491,79,49
2019,2,1000490,143,52
2019,2,1000489,153,82
2019,2,1000488,87,48
2019,2,1000487,101,58
2019,2,1000486,158,60
2019,2,1000485,55,50
2019,2,1000484,91,48
2019,2,1000483,47,31
2019,2,1000482,108,48
2019,2,1000481,92,50
2019,2,1000480,99,50
2019,2,1000479,97,48
2019,2,1000478,89,59
2019,2,1000477,68,52
2019,2,1000476,73,45
2019,2,1000475,92,44
2019,2,1000474,113,54
2019,2,1000473,114,50
2019,2,1000472,114,58
2019,2,1000471,89,46
2019,2,1000470,35,40
2019,2,1000469,74,47
2019,2,1000468,67,52
2019,2,1000467,94,48
2019,2,1000466,87,45
2019,2,1000465,76,48
2019,2,1000464,114,62
2019,2,1000463,121,56
2019,2,1000462,89,60
2019,2,1000461,101,51
2019,2,1000460,129,53
2019,2,1000459,123,57
2019,2,1000458,105,57
2019,2,1000457,109,58
2019,2,1000456,100,73
2019,2,1000455,131,51
2019,2,1000454,117,59
2019,2,1000453,156,67
2019,2,1000452,110,62
2019,2,1000451,97,58
2019,2,1000450,118,63
2019,2,1000449,113,57
2019,2,1000448,101,66
2019,2,1000447,95,47
2019,2,1000446,107,52
2019,2,1000445,102,59
2019,2,1000444,194,77
2019,2,1000443,102,54
2019,2,1000442,114,58
2019,2,1000441,119,54
2019,2,1000440,135,64
2019,2,1000439,140,59
2019,2,1000438,97,55
2019,2,1000437,80,48
2019,2,1000436,99,61
2019,2,1000435,120,60
2019,2,1000434,93,71
2019,2,1000433,116,50
2019,2,1000432,105,40
2019,2,1000431,105,47
2019,2,1000430,97,43
2019,2,1000429,100,61
2019,2,1000428,151,64
