year,quarter,district,facil_total,bank,pharm,theater,subway_st,bus_st
2019,2,1000394,12,1,,,,2
2019,2,1000180,8,,4,,,
2019,2,1000484,7,,,,,2
2019,2,1000811,6,,,,,2
2019,2,1000957,18,1,1,,,7
2019,2,1001336,43,2,8,,,4
2019,2,1001208,41,4,1,,,4
2019,2,1000292,14,1,,,,2
2019,2,1001059,11,2,1,,,2
2019,2,1001460,13,1,2,,,1
2019,2,1000834,21,2,1,,,2
2019,2,1001157,23,1,1,,,4
2019,2,1000893,12,,1,,,2
2019,2,1001197,22,2,1,,,4
2019,2,1000028,25,1,3,,,2
2019,2,1000011,17,1,2,,,1
2019,2,1000430,12,,1,,,
2019,2,1000703,11,,1,,,3
2019,2,1000108,3,,,,,1
2019,2,1001297,12,,4,,,1
2019,2,1000088,21,1,1,,,4
2019,2,1000870,27,3,4,,,3
2019,2,1000455,18,,3,,,
2019,2,1000467,17,3,1,,,6
2019,2,1000738,21,,3,,1,3
2019,2,1001455,4,,,,,2
2019,2,1001032,25,1,4,,,1
2019,2,1000597,18,,1,,,3
2019,2,1000573,12,,2,,,2
2019,2,1000580,26,1,3,,1,3
2019,2,1001413,34,2,5,,1,3
2019,2,1001409,15,1,5,,,1
2019,2,1001019,18,,3,,,4
2019,2,1001105,61,3,3,,1,6
2019,2,1000073,31,,3,,,4
2019,2,1001154,14,,2,,,1
2019,2,1001447,16,,3,,,1
2019,2,1001429,11,,4,,,2
2019,2,1001088,62,12,4,2,,6
2019,2,1000258,21,,3,,,5
2019,2,1000842,10,,3,,,3
2019,2,1000953,14,,3,,,1
2019,2,1001260,74,2,10,,,10
2019,2,1001251,66,2,6,,1,11
2019,2,1000288,25,,4,,,6
2019,2,1000847,32,3,3,,,4
2019,2,1001005,24,,7,,,4
2019,2,1000544,11,1,2,,,1
2019,2,1001156,94,6,9,,1,6
2019,2,1000444,12,1,2,,,1
2019,2,1001282,27,2,4,,1,
2019,2,1001436,8,1,2,,,
2019,2,1001078,207,5,16,1,,28
2019,2,1001131,24,4,3,,,2
2019,2,1001057,71,4,6,,1,6
2019,2,1000402,26,2,3,,,3
2019,2,1001196,58,12,5,,1,5
2019,2,1000608,14,1,3,,,5
2019,2,1001044,43,4,1,,1,9
2019,2,1001047,23,2,1,,,5
2019,2,1000254,31,,3,,,2
2019,2,1000694,8,1,,,,2
2019,2,1000413,16,1,2,,,3
2019,2,1000244,10,1,1,,,1
2019,2,1000083,10,2,,,,1
2019,2,1000970,5,,1,,,1
2019,2,1001207,16,2,,1,,
2019,2,1001493,165,13,12,14,4,21
2019,2,1001203,206,12,13,21,1,7
2019,2,1000203,6,,1,,,2
2019,2,1000524,4,,,,,2
2019,2,1000512,9,,,,,1
2019,2,1000992,9,1,,,,4
2019,2,1000198,6,,,,,1
2019,2,1000219,5,,1,,,1
2019,2,1000206,4,,,,,
2019,2,1000185,9,,2,,,
2019,2,1000589,10,1,1,,,2
