year,quarter,district,resid_total,household_total,household_apt
2019,2,1000897,2084,1504,0
2019,2,1000896,3224,1936,55
2019,2,1000895,1575,661,0
2019,2,1000894,2107,1353,0
2019,2,1000893,2859,1124,681
2019,2,1000892,28,25,0
2019,2,1000891,2068,820,105
2019,2,1000890,2405,1073,0
2019,2,1000889,3678,1590,81
2019,2,1000888,1863,968,552
2019,2,1000887,1263,558,0
2019,2,1000886,1463,902,17
2019,2,1000885,2653,1115,143
2019,2,1000884,2768,1041,152
2019,2,1000883,2091,908,335
2019,2,1000882,1562,618,300
2019,2,1000881,1842,929,0
2019,2,1000880,4664,2015,140
2019,2,1000879,3991,1807,0
2019,2,1000878,3994,2725,0
2019,2,1000877,2694,1711,0
2019,2,1000876,2091,980,0
2019,2,1000875,2627,1360,87
2019,2,1000874,1545,681,0
2019,2,1000873,1759,603,480
2019,2,1000872,3519,1504,117
2019,2,1000871,1261,537,0
2019,2,1000870,2408,1185,116
2019,2,1000869,2418,1139,0
2019,2,1000868,1219,817,0
2019,2,1000867,173,74,0
2019,2,1000866,1568,600,83
2019,2,1000865,1089,554,38
2019,2,1000864,1130,427,0
2019,2,1000863,1599,638,0
2019,2,1000862,1646,830,0
2019,2,1000861,1630,691,75
2019,2,1000860,2791,1312,77
2019,2,1000859,1505,682,0
2019,2,1000858,1197,598,0
2019,2,1000857,2075,964,0
2019,2,1000856,3519,1514,31
2019,2,1000855,1674,740,0
2019,2,1000854,3406,1453,0
2019,2,1000853,1371,557,0
2019,2,1000852,1813,1033,152
2019,2,1000851,3209,1364,0
2019,2,1000850,1541,716,0
2019,2,1000849,2444,1081,223
2019,2,1000848,1741,669,98
2019,2,1000847,1968,716,48
2019,2,1000846,3665,1826,91
2019,2,1000845,2613,1357,0
2019,2,1000844,1101,537,0
2019,2,1000843,709,523,0
2019,2,1000842,1352,660,155
2019,2,1000841,1787,900,0
2019,2,1000840,1578,901,284
2019,2,1000839,2712,2211,0
2019,2,1000838,3095,2317,0
2019,2,1000837,4876,3312,0
2019,2,1000836,3312,2037,0
2019,2,1000835,4202,2091,382
2019,2,1000834,3526,2530,23
2019,2,1000833,1945,1224,0
2019,2,1000832,3241,1808,143
2019,2,1000831,4364,2389,47
2019,2,1000830,1778,1158,0
2019,2,1000829,1754,1004,0
2019,2,1000828,1757,1094,0
2019,2,1000827,857,525,30
2019,2,1000826,3008,1409,0
2019,2,1000825,1485,578,0
2019,2,1000824,4600,2698,80
2019,2,1000823,2830,1742,0
2019,2,1000822,1872,1201,0
2019,2,1000821,1967,1574,0
2019,2,1000820,1651,1351,0
2019,2,1000819,2604,1504,0
2019,2,1000818,2009,1141,0
2019,2,1000817,2973,2020,56
2019,2,1000816,4647,3135,0
2019,2,1000815,4207,3412,0
2019,2,1000814,3158,1849,20
2019,2,1000813,4104,3181,0
2019,2,1000812,3995,2115,454
2019,2,1000811,3807,1830,0
2019,2,1000810,4138,2428,0
2019,2,1000809,1325,601,0
2019,2,1000808,5210,2139,0
2019,2,1000807,4365,1896,264
2019,2,1000806,1773,1317,0
2019,2,1000805,2996,2356,0
2019,2,1000804,1818,1000,0
2019,2,1000803,1976,968,152
2019,2,1000802,1610,998,26
2019,2,1000801,2797,1521,0
2019,2,1000800,1646,899,44
2019,2,1000799,1832,1148,24
2019,2,1000798,2670,1418,153
2019,2,1000797,3899,2063,0
2019,2,1000796,3382,1868,0
2019,2,1000795,3445,1838,274
2019,2,1000794,2621,1351,0
2019,2,1000793,2409,1033,0
2019,2,1000792,1853,1170,0
